1, 353970113
2, 354289130
3, 354801597
4, 351474078
5, 351639642
6, 352421521
7, 354073230
8, 351036230
9, 350718443
10, 351586724
11, 353527403
12, 351665600
13, 353035252
14, 352768382
15, 353531534
16, 349448860
17, 349600273
18, 363547149
19, 350360953
20, 350144155
21, 350707259
22, 350716833
23, 350420755
24, 350000057
25, 349777500
26, 350101961
27, 350594576
28, 350289320
29, 349423973
30, 349352709
31, 349824115
32, 349311594
33, 348742507
34, 348891216
35, 348648627
36, 348701412
37, 350004345
38, 362065997
39, 362473682
40, 361910581
41, 366371879
42, 366518851
43, 367398022
44, 364352854
45, 363310999
46, 353101815
47, 348992000
48, 344026585
49, 359578558
50, 360483038
51, 360464606
52, 360438158
53, 360577388
54, 360744642
55, 360598250
56, 360729488
57, 360624503
58, 360648103
59, 360631031
60, 361659715
61, 361650033
62, 360913972
63, 360891439
64, 360535012
65, 360782943
66, 360742562
67, 361107788
68, 360643803
69, 360850791
70, 360545779
71, 361352014
72, 360736855
73, 360610300
74, 360737818
75, 360407297
76, 360682879
77, 360478643
78, 360692069
79, 360900682
80, 360554994
81, 360411648
82, 360385203
83, 360645052
84, 360601397
85, 360811851
86, 360588148
87, 360538436
88, 360607233
89, 360755409
90, 360812091
91, 360809612
92, 361064394
93, 360898288
94, 360951597
95, 360958412
96, 360474880
97, 360753357
98, 361247376
99, 360830616
